,회사명,거래소코드,회계년도,매출원가감소율
0,CMG제약,58820,2011-12,-24.14
9,DB하이텍,990,2011-12,-46.99
18,ES큐브,50120,2011-12,-4.17
27,HJ중공업,97230,2011-12,2.17
36,MH에탄올,23150,2011-12,-2.41
45,SH에너지화학,2360,2011-12,2.15
54,SIMPAC,9160,2011-12,0
63,SNT에너지,100840,2011-12,0
72,SNT홀딩스,36530,2011-12,3.448275862
81,STX,11810,2011-12,-1.086956522
90,TCC스틸,2710,2011-12,3.260869565
99,가비아,79940,2011-12,1.818181818
108,강스템바이오텍,217730,2015-12,0
113,강원랜드,35250,2011-12,13.95348837
122,강원에너지,114190,2011-11,0
131,갤럭시아에스엠,11420,2011-12,-2.43902439
140,경농,2100,2011-12,0
149,경동나비엔,9450,2011-12,2.702702703
158,경동도시가스,267290,2017-12,0
161,경동인베스트,12320,2011-12,2.127659574
170,경방,50,2011-12,6.756756757
179,경보제약,214390,2015-12,0
184,경인양행,12610,2011-12,0
193,고려시멘트,198440,2014-12,0
199,고영테크놀러지,98460,2011-12,4.651162791
208,골드앤에스,35290,2011-12,-4.411764706
217,골드퍼시픽,38530,2011-12,0
226,골프존,215000,2015-12,0
231,골프존뉴딘홀딩스,121440,2011-12,0
240,광림,14200,2011-12,0
249,광명전기,17040,2011-12,1.136363636
258,광무,29480,2011-12,6.097560976
267,광신세계,37710,2011-12,0
276,구영테크,53270,2011-12,2.272727273
285,국동,5320,2011-12,1.149425287
294,국보,1140,2011-12,2.150537634
303,국보디자인,66620,2011-12,0
312,국순당,43650,2011-12,14.03508772
321,국영지앤엠,6050,2011-12,0
330,국전약품,307750,2018-12,0
332,그래디언트,35080,2011-12,1.515151515
341,그리티,204020,2018-12,0
343,그린플러스,186230,2019-12,0
344,글로벌스탠다드테크놀로지,83450,2011-12,3.225806452
353,금비,8870,2011-09,0
362,금양,1570,2011-12,0
371,금호에이치티,214330,2015-12,0
376,금화피에스시,36190,2011-12,0
385,기가레인,49080,2013-12,0
392,기산텔레콤,35460,2011-12,10.11235955
401,까뮤이앤씨,13700,2011-12,0
410,까스텔바작,308100,2019-12,0
411,나노,187790,2014-12,0
417,나노브릭,286750,2019-12,0
418,나노신소재,121600,2011-12,0
427,나노엔텍,39860,2011-12,12.76595745
436,나무가,190510,2015-12,0
441,나스미디어,89600,2013-12,0
448,나이벡,138610,2011-12,0
457,나이스디앤비,130580,2011-12,0
466,나이스홀딩스,34310,2011-12,0
475,나인테크,267320,2017-12,0
478,남선알미늄,8350,2011-12,1.098901099
487,남성,4270,2011-12,0
496,내츄럴엔도텍,168330,2013-12,0
503,네오리진,94860,2011-12,2.409638554
512,네오셈,253590,2018-12,0
514,네오오토,212560,2015-12,0
519,네오위즈,95660,2011-12,0
528,네오위즈홀딩스,42420,2011-12,0
537,네오크레마,311390,2019-12,0
538,네오티스,85910,2011-12,0
547,네오팜,92730,2011-12,0
556,네오펙트,290660,2018-12,0
558,네온테크,306620,2018-12,0
560,네이블커뮤니케이션즈,153460,2012-12,0
568,네이처셀,7390,2011-12,0
577,네패스,33640,2011-12,2.409638554
586,넥센,5720,2011-12,3.488372093
595,넥스턴바이오사이언스,89140,2011-12,0
604,넥스트아이,137940,2011-12,0
613,넥스트엔터테인먼트월드,160550,2014-12,0
619,넥슨게임즈,225570,2015-12,0
624,넵튠,217270,2015-12,0
629,노랑풍선,104620,2019-12,0
630,노루페인트,90350,2011-12,1.234567901
639,노루홀딩스,320,2011-12,1.25
648,노바렉스,194700,2018-12,0
650,노바텍,285490,2018-12,0
652,노블엠앤비,106520,2012-12,0
660,노터스,278650,2019-12,0
661,녹십자,6280,2011-12,10.60606061
670,녹십자엠에스,142280,2014-12,0
676,녹십자웰빙,234690,2019-12,0
677,녹십자홀딩스,5250,2011-12,9.230769231
686,녹원씨엔아이,65560,2011-12,-2.985074627
695,농심,4370,2011-12,4.109589041
704,농심홀딩스,72710,2011-12,1.176470588
713,누리플랜,69140,2011-12,2.597402597
722,누리플렉스,40160,2011-12,8.695652174
731,누보,332290,2019-12,0
732,뉴로스,126870,2012-12,0
740,뉴보텍,60260,2011-12,0
749,뉴인텍,12340,2011-12,2.272727273
758,뉴트리,270870,2018-12,0
760,뉴파워프라즈마,144960,2016-12,0
764,뉴프렉스,85670,2011-12,-2.222222222
773,다나와,119860,2011-12,0
782,다날,64260,2011-12,0
791,다보링크,340360,2019-12,0
792,다산네트웍스,39560,2011-12,5.970149254
801,다우기술,23590,2011-12,-7.407407407
810,다우데이타,32190,2011-12,-5.084745763
819,다원시스,68240,2011-12,0
828,다이나믹디자인,145210,2015-12,0
833,대교,19680,2011-12,0
842,대구백화점,6370,2011-03,0
851,대덕,8060,2011-12,3.370786517
860,대동,490,2011-12,1.282051282
869,대동스틸,48470,2011-12,0
878,대륙제관,4780,2011-12,0
887,대림제지,17650,2011-12,0
896,대명소노시즌,7720,2011-12,13.0952381
905,대성미생물연구소,36480,2011-12,0
914,대성엘텍,25440,2011-12,6.12244898
923,대성파인텍,104040,2011-12,-3.896103896
932,대양금속,9190,2011-12,15.88785047
941,대우건설,47040,2011-12,-8.888888889
950,대웅,3090,2011-12,9.677419355
959,대웅제약,69620,2011-12,0
968,대원,7680,2017-12,0
971,대유,290380,2018-12,0
973,대유에이텍,2880,2011-12,2.173913043
982,대유에이피,290120,2018-12,0
984,대유플러스,300,2011-12,2.127659574
993,대창,12800,2011-12,3.157894737
1002,대창솔루션,96350,2011-12,0
1011,대창스틸,140520,2014-12,0
1017,대한과학,131220,2011-12,0
1026,대한항공,3490,2011-12,9.302325581
1035,대현,16090,2011-12,0
1044,대호에이엘,69460,2011-12,1.111111111
1053,대호특수강,21040,2011-12,0
1062,더 미동,161570,2013-12,0
1069,더블유게임즈,192080,2019-12,0
1070,더블유아이,73570,2011-12,2.150537634
1079,더블유에스아이,299170,2018-12,0
1081,더존비즈온,12510,2011-12,8.333333333
1090,덕산테코피아,317330,2019-12,0
1091,덕성,4830,2011-12,1.098901099
1100,덕신하우징,90410,2014-12,0
1106,데이타솔루션,263800,2017-12,0
1109,덱스터스튜디오,206560,2015-12,0
1114,덴티스,261200,2017-12,0
1117,덴티움,145720,2017-12,0
1120,도화엔지니어링,2150,2011-12,0
1129,동구바이오제약,6620,2018-12,0
1131,동국알앤에스,75970,2011-12,-1.176470588
1140,동국에스엔씨,100130,2011-12,-2.197802198
1149,동남합성,23450,2011-12,0
1158,동방,4140,2011-12,1.111111111
1167,동방선기,99410,2011-12,0
1176,동방아그로,7590,2011-12,1.428571429
1185,동서,26960,2016-12,0
1189,동성케미컬,102260,2011-12,3.448275862
1198,동성화인텍,33500,2011-12,0
1207,동아엘텍,88130,2011-12,10.81081081
1216,동아지질,28100,2011-12,4.210526316
1225,동양,1520,2011-12,0
1234,동양고속,84670,2011-12,6.976744186
1243,동양에스텍,60380,2011-12,1.063829787
1252,동우팜투테이블,88910,2011-12,0
1261,동운아나텍,94170,2015-12,0
1266,동원개발,13120,2011-12,0
1275,동원에프앤비,49770,2011-12,0
1284,동일기연,32960,2011-12,9.677419355
1293,동진쎄미켐,5290,2011-12,6.741573034
1302,두산,150,2011-12,15.06849315
1311,두산테스나,131970,2013-12,0
1318,두올,16740,2016-12,0
1322,듀오백,73190,2011-12,-1.538461538
1331,드래곤플라이,30350,2011-12,70
1340,드림시큐리티,203650,2014-12,0
1346,드림어스컴퍼니,60570,2011-12,8.602150538
1355,드림텍,192650,2019-12,0
1356,디딤,217620,2015-12,0
1361,디모아,16670,2011-12,0
1370,디바이스이엔지,187870,2017-12,0
1373,디비아이엔씨,12030,2011-12,0
1382,디스플레이테크,66670,2011-12,0
1391,디아이,3160,2011-12,7.692307692
1400,디아이씨,92200,2011-12,2.325581395
1409,디아크,78590,2011-12,0
1418,디알비동일,4840,2011-12,3.75
1427,디알젬,263690,2018-12,0
1429,디알텍,214680,2015-12,0
1434,디앤씨미디어,263720,2017-12,0
1437,디에스앤엘,141020,2013-12,0
1444,디에스케이,109740,2011-12,-6.172839506
1453,디에이테크놀로지,196490,2014-12,0
1459,디에이피,66900,2011-12,0
1468,디엔에이링크,127120,2011-12,0
1477,디엔에프,92070,2011-12,0
1486,디엔오토모티브,7340,2011-12,0
1495,디엠에스,68790,2011-12,0
1504,디오,39840,2011-12,-39.02439024
1513,디와이디,219550,2015-12,0
1518,디이엔티,79810,2011-12,0
1527,디지아이,43360,2011-12,0
1536,디지캡,197140,2018-12,0
1538,디지털대성,68930,2011-12,0
1547,디지틀조선일보,33130,2011-12,-4
1556,디케이앤디,263020,2018-12,0
1558,디케이티,290550,2018-12,0
1560,디티앤씨,187220,2014-12,0
1566,딜리,131180,2011-12,0
1575,라닉스,317120,2019-12,0
1576,라온테크,232680,2015-12,0
1581,라이온켐텍,171120,2013-12,0
1588,라이트론,69540,2011-12,4.87804878
1597,라파스,214260,2019-12,0
1598,락앤락,115390,2011-12,5.882352941
1607,랩지노믹스,84650,2014-12,0
1613,러셀,217500,2015-12,0
1618,레고켐바이오사이언스,141080,2013-12,0
1625,레드로버,60300,2011-12,0
1634,레드캡투어,38390,2011-12,-8.620689655
1643,레이,228670,2019-12,0
1644,레이언스,228850,2016-12,0
1648,레이크머티리얼즈,281740,2017-12,0
1651,로보로보,215100,2015-12,0
1656,로보스타,90360,2011-12,0
1665,로보티즈,108490,2018-12,0
1667,로지시스,67730,2015-12,0
1672,루멘스,38060,2011-12,2.380952381
1681,루트로닉,85370,2011-12,18.18181818
1690,룽투코리아,60240,2011-12,-20
1699,리노스,39980,2011-12,0
1708,리더스코스메틱,16100,2011-12,0
1717,리드,197210,2015-12,0
1722,리드코프,12700,2011-12,0
1731,리메드,302550,2019-12,0
1732,링네트,42500,2011-12,1.176470588
1741,링크제니시스,219420,2018-12,0
1743,마니커,27740,2011-12,1.098901099
1752,마니커에프앤지,195500,2019-12,0
1753,마이크로디지탈,305090,2019-12,0
1754,마이크로컨텍솔루션,98120,2011-12,0
1763,마이크로프랜드,147760,2016-12,0
1767,마크로젠,38290,2011-12,-5.660377358
1776,만도,204320,2014-12,0
1782,매직마이크로,127160,2015-12,0
1787,매커스,93520,2011-12,0
1796,머큐리,100590,2018-12,0
1798,멀티캠퍼스,67280,2011-12,0
1807,메드팩토,235980,2019-12,0
1808,메디아나,41920,2014-12,0
1814,메디콕스,54180,2011-06,0
1823,메디톡스,86900,2011-12,0
1832,메디프론디비티,65650,2011-12,0
1841,메지온,140410,2012-12,0
1849,메카로,241770,2017-12,0
1852,메타랩스,90370,2011-12,-2.777777778
1861,메타바이오메드,59210,2011-12,3.846153846
1870,멕아이씨에스,58110,2015-12,0
1875,멜파스,96640,2011-12,0
1884,모나리자,12690,2011-12,0
1893,모나미,5360,2011-12,-2.5
1902,모다이노칩,80420,2011-12,-13.33333333
1911,모두투어네트워크,80160,2011-12,0
1920,모바일리더,100030,2011-12,0
1929,모베이스,101330,2011-12,-1.162790698
1938,모베이스전자,12860,2011-12,-2.298850575
1947,모비스,250060,2016-12,0
1951,모아텍,33200,2011-12,6.593406593
1959,모토닉,9680,2011-12,2.352941176
1968,모헨즈,6920,2011-12,1.098901099
1977,무학,33920,2011-12,-3.636363636
1986,미래생명자원,218150,2015-12,0
1991,미래아이앤지,7120,2011-12,-2.941176471
2000,미래컴퍼니,49950,2011-12,-9.589041096
2009,미코,59090,2011-12,7.692307692
2018,미투온,201490,2016-12,0
2022,바른손,18700,2011-03,0
2031,바른손이앤에이,35620,2011-12,0
2040,바른전자,64520,2011-12,2.197802198
2049,바이넥스,53030,2011-12,0
2058,바이오니아,64550,2011-12,2
2067,바이오로그디바이스,208710,2014-12,0
2073,바이오솔루션,86820,2018-12,0
2075,바이오스마트,38460,2011-12,0
2084,바이오톡스텍,86040,2011-12,-13.33333333
2093,바텍,43150,2011-12,3.03030303
2102,방림,3610,2011-09,0
2111,배럴,267790,2018-12,0
2113,백금티앤에이,46310,2011-12,10.25641026
2122,백산,35150,2011-12,-3.614457831
2131,버킷스튜디오,66410,2011-12,0
2140,베노홀딩스,206400,2014-12,0
2146,베셀,177350,2015-12,0
2151,베스파,299910,2018-12,0
2153,벽산,7210,2011-12,0
2162,보광산업,225530,2015-12,0
2167,보라티알,250000,2017-12,0
2170,보락,2760,2011-12,0
2179,보령,3850,2011-12,0
2188,본느,226340,2015-12,0
2193,부-스타,8470,2011-12,0
2202,부방,14470,2011-12,-4.285714286
2211,뷰웍스,100120,2011-12,0
2220,브리지텍,64480,2011-12,0
2229,브이원텍,251630,2017-12,0
2232,브이티지엠피,18290,2011-12,0
2241,블루베리엔에프티,44480,2011-12,6.060606061
2250,블루콤,33560,2011-12,0
2259,비덴트,121800,2012-06,0
2267,비보존헬스케어,82800,2011-12,0
2276,비비안,2070,2011-12,0
2285,비상교육,100220,2011-12,-9.803921569
2294,비씨월드제약,200780,2014-12,0
2300,비아트론,141000,2012-12,0
2308,비에이치,90460,2011-12,-2.380952381
2317,비엔지티,32790,2011-12,0
2326,비엘,142760,2016-12,0
2330,비엘팜텍,65170,2011-12,-19.64285714
2339,비엠티,86670,2011-12,5.333333333
2348,비올,335890,2019-12,0
2349,비와이씨,1460,2011-12,-6.666666667
2358,비즈니스온커뮤니케이션,138580,2017-12,0
2361,비지에프,27410,2014-12,0
2367,비지에프리테일,282330,2017-12,0
2370,비츠로셀,82920,2011-03,0
2379,비츠로시스,54220,2011-03,0
2388,비츠로테크,42370,2011-03,0
2397,비케이홀딩스,50090,2011-12,2.197802198
2406,비투엔,307870,2018-12,0
2408,비트컴퓨터,32850,2011-12,-1.282051282
2417,비피도,238200,2018-12,0
2419,빅솔론,93190,2011-12,1.428571429
2428,빅텍,65450,2011-12,0
2437,빙그레,5180,2011-12,2.857142857
2446,사람인에이치알,143240,2012-12,0
2454,사조대림,3960,2011-12,3.703703704
2463,사조오양,6090,2011-12,0
2472,삼기,122350,2011-12,0
2481,삼보판지,23600,2011-12,1.149425287
2490,삼성출판사,68290,2011-12,0
2499,삼양사,145990,2011-12,0
2508,삼양옵틱스,225190,2017-12,0
2511,삼양패키징,272550,2017-12,0
2514,삼양홀딩스,70,2011-12,1.149425287
2523,삼에스코리아,60310,2011-03,0
2532,삼원강재,23000,2011-12,0
2541,삼익악기,2450,2011-12,0
2550,삼일,32280,2011-12,0
2559,삼일기업공사,2290,2011-12,0
2568,삼일씨엔에스,4440,2016-12,0
2572,삼진,32750,2011-12,9.782608696
2581,삼진엘앤디,54090,2011-12,2.352941176
2590,삼천리,4690,2011-12,1.086956522
2599,삼표시멘트,38500,2011-12,5.434782609
2608,삼화네트웍스,46390,2011-12,-13.33333333
2617,상보,27580,2011-12,0
2626,상상인,38540,2011-12,-1.315789474
2635,상상인인더스트리,101000,2011-12,8.571428571
2644,상아프론테크,89980,2011-12,0
2653,상지카일룸,42940,2011-12,0
2662,새로닉스,42600,2011-12,4.494382022
2671,서린바이오사이언스,38070,2011-12,0
2680,서부티엔디,6730,2011-12,8
2689,서산,79650,2011-12,-9.210526316
2698,서연,7860,2011-12,3.296703297
2707,서연이화,200880,2014-12,0
2713,서연탑메탈,19770,2011-12,0
2722,서울리거,43710,2011-12,4.395604396
2731,서울옥션,63170,2011-12,-9.230769231
2740,서울제약,18680,2011-12,0
2749,서원,21050,2011-12,3.092783505
2758,서원인텍,93920,2011-12,2.298850575
2767,서전기전,189860,2014-12,0
2773,서진시스템,178320,2017-12,0
2776,서진오토모티브,122690,2011-12,0
2785,서플러스글로벌,140070,2017-12,0
2788,서한,11370,2011-12,0
2797,서흥,8490,2011-12,2.666666667
2806,서희건설,35890,2011-12,0
2815,선광,3100,2011-12,0
2824,선앤엘,2820,2011-12,-2.197802198
2833,선익시스템,171090,2017-12,0
2836,선진,136490,2011-12,0
2845,성광벤드,14620,2011-12,2.53164557
2854,성도이엔지,37350,2011-12,3.529411765
2863,성안,11300,2011-12,0
2872,성우하이텍,15750,2011-12,2.325581395
2881,성창오토텍,80470,2011-12,1.219512195
2890,세경하이테크,148150,2019-12,0
2891,세동,53060,2011-12,4.210526316
2900,세림비앤지,340440,2019-12,0
2901,세보엠이씨,11560,2011-12,0
2910,세아베스틸지,1430,2011-12,0
2919,세아제강,306200,2018-12,0
2921,세아제강지,3030,2011-12,1.149425287
2930,세아특수강,19440,2011-12,0
2939,세아홀딩스,58650,2011-12,2.325581395
2948,세우글로벌,13000,2011-12,3.448275862
2957,세운메디칼,100700,2011-12,5.797101449
2966,세원물산,24830,2011-12,0
2975,세원정공,21820,2011-06,-3.75
2984,세이브존아이앤씨,67830,2011-12,-4.87804878
2993,세종메디칼,258830,2018-12,0
2995,세중,39310,2011-12,-1.298701299
3004,세진중공업,75580,2015-12,0
3009,세진티에스,67770,2011-12,4.347826087
3018,세코닉스,53450,2011-12,8
3027,세토피아,222810,2015-12,0
3032,세화피앤씨,252500,2016-12,0
3036,센트랄모텍,308170,2019-12,0
3037,센트럴인사이트,12600,2011-12,-4.347826087
3046,셀루메드,49180,2011-12,32.0754717
3055,셀리드,299660,2017-12,0
3057,셀리버리,268600,2018-12,0
3059,셀바스에이아이,108860,2011-12,-10.52631579
3068,셀바스헬스케어,208370,2014-12,0
3074,셀트리온,68270,2018-12,0
3076,셀트리온제약,68760,2011-12,0
3085,셀트리온헬스케어,91990,2017-12,0
3088,셀피글로벌,68940,2011-12,0
3097,소프트센,32680,2011-09,0
3106,손오공,66910,2011-12,-20.54794521
3115,솔고바이오메디칼,43100,2011-12,14.49275362
3124,솔루에타,154040,2013-12,0
3131,솔본,35610,2011-12,7.01754386
3140,쇼박스,86980,2011-12,17.5257732
3149,수산아이앤티,50960,2016-12,0
3153,수산중공업,17550,2011-12,-1.492537313
3162,수젠텍,253840,2019-12,0
3163,슈프리마,236200,2016-12,0
3167,슈프리마아이디,317770,2019-12,0
3168,슈프리마에이치큐,94840,2011-12,5.660377358
3177,슈피겐코리아,192440,2014-12,0
3183,스마트솔루션즈,136510,2011-12,0
3192,스맥,99440,2011-12,0
3201,스카이문스테크놀로지,33790,2011-12,0
3210,스킨앤스킨,159910,2012-12,0
3218,스타플렉스,115570,2011-12,19.58762887
3227,스튜디오산타클로스엔터테인먼트,204630,2014-12,0
3233,스페코,13810,2011-12,4.761904762
3242,승일,49830,2011-12,0
3251,시공테크,20710,2011-12,-1.162790698
3260,시너지이노베이션,48870,2011-12,-24.67532468
3269,시노펙스,25320,2011-12,-3.296703297
3278,시디즈,134790,2011-12,0
3287,시스웍,269620,2017-12,0
3290,시큐브,131090,2011-12,0
3299,시티랩스,139050,2011-12,0
3308,신도리코,29530,2011-12,2.53164557
3317,신성이엔지,11930,2011-12,0
3326,신세계,4170,2011-12,5.714285714
3335,신세계아이앤씨,35510,2011-12,0
3344,신세계인터내셔날,31430,2011-12,0
3353,신세계푸드,31440,2011-12,0
3362,신영와코루,5800,2011-09,2.43902439
3371,신원,9270,2011-12,4.545454545
3380,신진에스엠,138070,2011-12,0
3389,신테카바이오,226330,2019-12,0
3390,신화다이나믹스,1770,2011-12,0
3399,신화콘텍,187270,2014-12,0
3405,신흥,4080,2011-12,2.5
3414,심텍,222800,2015-12,0
3419,심텍홀딩스,36710,2011-12,6.024096386
3428,싸이맥스,160980,2015-12,0
3433,싸이토젠,217330,2018-12,0
3435,쌍방울,102280,2011-12,-1.388888889
3444,썸에이지,208640,2014-12,0
3450,쎄노텍,222420,2015-12,0
3455,쎄니트,37760,2011-12,1.162790698
3464,쎄트렉아이,99320,2011-12,0
3473,쎌마테라퓨틱스,15540,2011-12,-1.01010101
3482,쎌바이오텍,49960,2011-12,0
3491,쏠리드,50890,2011-12,9.210526316
3500,씨씨에스충북방송,66790,2011-12,0
3509,씨아이테크,4920,2011-12,0
3518,씨에스,65770,2011-12,-3.03030303
3527,씨에스에이코스믹,83660,2011-12,1.219512195
3536,씨엔플러스,115530,2011-12,0
3545,씨유메디칼시스템,115480,2011-12,0
3554,씨제이이엔엠,35760,2011-12,0
3563,씨젠,96530,2011-12,0
3572,씨티씨바이오,60590,2011-12,4.166666667
3581,씨티케이,260930,2017-12,0
3584,아가방앤컴퍼니,13990,2011-12,0
3593,아나패스,123860,2011-12,0
3602,아난티,25980,2011-12,0
3611,아리온테크놀로지,58220,2011-12,0
3620,아모그린텍,125210,2015-12,0
3624,아모레퍼시픽,90430,2011-12,-3.333333333
3633,아모레퍼시픽그룹,2790,2011-12,-3.225806452
3642,아모텍,52710,2011-12,8
3651,아미노로직스,74430,2011-12,13.88888889
3660,아바코,83930,2011-12,3.296703297
3669,아바텍,149950,2012-12,0
3677,아세아텍,50860,2011-06,0
3686,아센디오,12170,2011-12,0
3695,아스타,246720,2017-12,0
3698,아스트,67390,2014-12,0
3704,아시아경제,127710,2015-12,0
3709,아우딘퓨쳐스,227610,2017-12,0
3712,아이디스,143160,2011-12,0
3721,아이디스홀딩스,54800,2011-12,-14.81481481
3730,아이마켓코리아,122900,2011-12,0
3739,아이비김영,339950,2019-12,0
3740,아이센스,99190,2013-12,0
3747,아이스크림에듀,289010,2019-12,0
3748,아이씨디,40910,2011-09,0
3757,아이앤씨테크놀로지,52860,2011-12,0
3766,아이에스시,95340,2011-12,-4.761904762
3775,아이에스이커머스,69920,2011-12,4.545454545
3784,아이에이,38880,2011-12,26.43678161
3793,아이에이치큐,3560,2011-12,-6.666666667
3802,아이엘사이언스,307180,2018-12,0
3804,아이엠,101390,2011-12,2.197802198
3813,아이엠비씨,52220,2011-12,0
3822,아이오케이컴퍼니,78860,2011-12,0
3831,아이윈,90150,2011-12,-1.219512195
3840,아이윈플러스,123010,2016-12,0
